time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,8.21,3.41,0.0,0.0,1.0,160.0
0.97,6.39,2.41,0.17,0.4,0.6,160.0
2.08,5.88,3.81,0.37,1.4,0.0,160.0
2.97,7.99,8.03,0.5,4.01,1.4,160.0
4.0,6.02,13.65,0.81,11.04,4.82,160.0
4.96,1.17,42.74,0.99,42.14,19.87,160.0
5.96,0.11,104.55,0.1,10.03,3.41,160.0
7.03,0.14,55.99,0.06,3.21,9.63,160.0
8.11,0.13,23.48,0.16,3.81,5.42,160.0
9.22,0.16,12.44,0.19,2.41,3.01,160.0
10.09,0.35,12.84,0.34,4.41,0.4,160.0
10.9,1.15,9.83,1.14,11.24,2.61,160.0
11.95,2.17,58.8,0.45,26.29,9.63,160.0
12.92,0.95,30.7,0.78,24.08,3.81,160.0
13.94,0.32,79.26,0.2,16.05,2.81,160.0
14.93,0.24,56.99,0.04,2.21,3.21,160.0
16.06,0.31,28.7,0.65,18.66,7.22,160.0
17.14,0.42,18.26,0.57,10.43,3.81,160.0
18.08,0.21,25.89,0.07,1.81,6.82,160.0
18.89,0.28,13.04,0.66,8.63,6.62,160.0
20.04,0.16,19.26,0.65,12.44,4.21,160.0
20.96,0.14,25.28,0.51,12.84,4.41,160.0
21.98,0.91,26.09,0.55,14.45,1.81,160.0
22.96,0.77,61.0,0.4,24.48,2.61,160.0
24.02,0.35,57.59,0.3,17.06,3.01,160.0
24.99,0.23,51.97,0.12,6.42,3.21,160.0
26.03,0.33,31.91,0.42,13.24,3.81,160.0
26.98,0.19,31.71,0.24,7.63,1.0,160.0
27.93,0.46,23.08,0.43,9.83,1.61,160.0
28.96,0.29,32.31,0.35,11.44,3.01,160.0
30.25,0.26,37.93,0.14,5.22,1.61,160.0
31.1,0.3,21.07,0.3,6.42,1.61,160.0
31.92,0.75,28.29,0.65,18.26,2.01,160.0
32.93,0.75,44.95,0.56,25.08,4.21,160.0
34.03,0.21,68.43,0.15,10.03,3.61,160.0
34.95,0.19,41.54,0.07,2.81,10.23,160.0
35.92,0.28,32.31,0.17,5.42,4.21,160.0
37.14,0.36,17.86,0.2,3.61,4.82,160.0
37.85,0.44,9.63,0.96,9.23,1.61,160.0
38.97,0.45,15.45,0.51,7.83,2.01,160.0
39.93,1.53,16.45,0.23,3.81,1.81,160.0
40.94,1.38,18.46,0.32,5.82,2.41,160.0
41.92,0.77,83.28,0.5,41.74,3.01,160.0
42.97,0.08,87.29,0.13,11.64,6.22,160.0
44.02,0.15,67.63,0.05,3.61,8.83,160.0
45.02,0.13,15.05,0.03,0.4,9.63,160.0
45.98,0.87,2.41,0.33,0.8,1.4,160.0
47.01,2.04,4.41,0.59,2.61,2.21,160.0
47.94,2.05,5.62,0.46,2.61,0.6,160.0
48.92,2.28,9.83,0.51,5.02,1.81,160.0
49.98,2.44,13.85,0.46,6.42,1.0,160.0
50.99,1.46,25.08,0.51,12.84,1.61,160.0
51.87,0.66,27.89,0.4,11.04,1.4,160.0
52.93,0.87,52.98,0.57,30.1,2.81,160.0
53.97,2.4,84.08,0.62,52.17,3.81,160.0
54.92,2.37,93.31,0.25,23.08,8.03,160.0
55.94,2.44,72.84,0.08,6.02,11.84,160.0
56.96,2.26,35.12,0.15,5.42,15.85,160.0
58.13,1.67,14.65,0.1,1.4,3.01,160.0
58.84,1.55,9.43,0.38,3.61,1.0,160.0
59.95,1.39,14.45,0.17,2.41,2.01,160.0
61.03,3.93,19.87,0.67,13.24,2.01,160.0
61.97,4.0,39.73,0.54,21.27,0.8,160.0
62.97,5.56,88.5,0.28,25.08,1.61,160.0
63.97,3.08,86.69,0.11,9.83,7.63,160.0
64.95,1.39,62.81,0.05,3.41,5.62,160.0
66.0,1.61,25.08,0.04,1.0,6.42,160.0
66.9,2.0,8.43,0.45,3.81,3.21,160.0
67.94,5.28,19.87,0.19,3.81,0.4,160.0
68.97,5.17,30.5,0.43,13.24,3.01,160.0
69.98,4.38,97.53,0.46,44.75,2.01,160.0
70.95,1.83,122.41,0.17,21.27,3.01,160.0
72.18,2.77,81.87,0.04,3.41,9.63,160.0
73.19,2.92,23.08,0.0,0.0,13.85,160.0
73.93,2.76,4.01,0.35,1.4,3.61,160.0
74.94,2.33,5.02,0.4,2.01,0.6,160.0
75.97,4.57,9.43,0.57,5.42,2.01,160.0
77.06,2.9,30.3,0.68,20.47,2.21,160.0
78.01,3.25,74.85,0.42,31.71,2.01,160.0
78.96,1.44,102.34,0.29,30.1,3.81,160.0
80.05,4.4,73.65,0.03,2.41,8.63,160.0
80.95,5.35,34.11,0.06,2.21,9.63,160.0
81.92,2.55,22.48,0.29,6.62,5.02,160.0
82.97,1.8,20.07,0.21,4.21,3.21,160.0
84.06,3.42,24.68,0.87,21.47,4.01,160.0
84.93,3.14,72.64,0.67,48.56,4.01,160.0
85.97,1.41,120.2,0.08,9.83,4.41,160.0
87.25,5.35,43.55,0.13,5.62,19.67,160.0
87.92,2.53,19.67,0.1,2.01,12.84,160.0
88.96,5.71,4.41,0.18,0.8,1.61,160.0
89.97,3.78,22.88,0.72,16.45,1.0,160.0
90.9,3.05,34.31,0.71,24.28,4.82,160.0
91.97,4.54,86.49,0.48,41.14,2.01,160.0
93.05,6.46,96.12,0.04,3.41,3.01,160.0
94.01,5.88,40.54,0.25,10.03,5.22,160.0
94.93,6.34,17.26,0.0,0.0,2.81,160.0
96.01,2.8,13.85,1.1,15.25,3.61,160.0
96.95,4.51,43.95,0.46,20.27,3.21,160.0
97.91,4.65,74.05,0.3,21.87,2.01,160.0
98.98,2.23,60.8,0.17,10.23,0.8,160.0
100.09,3.63,22.27,0.0,0.0,2.81,160.0
101.11,3.85,18.86,0.35,6.62,2.01,160.0
101.9,4.42,12.24,0.77,9.43,3.01,160.0
102.92,4.83,18.26,0.22,4.01,1.61,160.0
103.9,4.98,38.93,0.47,18.46,1.0,160.0
104.89,3.42,76.66,0.37,28.5,3.01,160.0
105.92,2.95,82.48,0.16,13.24,3.01,160.0
106.97,0.17,52.78,0.07,3.61,2.61,160.0
108.06,0.44,19.26,0.07,1.4,10.43,160.0
108.9,0.77,6.62,0.42,2.81,3.01,160.0
109.91,0.91,12.84,0.63,8.03,1.0,160.0
110.93,1.09,18.26,0.41,7.42,1.0,160.0
111.92,0.92,28.5,0.53,15.05,1.61,160.0
112.97,0.48,8.83,0.45,4.01,0.4,160.0
113.96,0.14,60.0,0.13,7.83,1.0,160.0
115.05,0.34,84.08,0.1,8.43,4.01,160.0
115.9,0.43,51.17,0.22,11.24,5.02,160.0
116.91,0.58,26.89,0.49,13.24,3.61,160.0
117.96,0.95,16.25,0.33,5.42,2.01,160.0
118.94,1.85,26.29,0.67,17.66,1.61,160.0
120.04,4.45,54.58,0.58,31.71,5.02,160.0
121.35,3.59,80.07,0.12,9.23,3.01,160.0
122.39,3.72,52.17,0.43,22.48,3.61,160.0
122.92,3.65,64.01,0.14,9.23,4.41,160.0
123.92,2.12,36.12,0.68,24.68,3.01,160.0
124.95,4.7,59.6,0.29,17.06,2.01,160.0
125.96,1.46,46.35,0.15,7.02,3.01,160.0
126.92,6.62,24.28,0.06,1.4,3.61,160.0
128.14,1.08,15.05,0.24,3.61,1.61,160.0
129.01,1.15,12.64,0.35,4.41,1.2,160.0
129.91,1.33,9.03,1.0,9.03,0.4,160.0
130.93,1.2,18.86,0.54,10.23,1.0,160.0
131.9,0.69,49.97,0.61,30.7,1.4,160.0
132.9,0.58,89.5,0.34,30.5,1.0,160.0
133.9,1.96,76.66,0.23,17.26,1.81,160.0
134.95,1.29,59.0,0.27,15.85,2.41,160.0
135.97,1.36,41.54,0.15,6.22,2.01,160.0
136.93,1.42,26.89,0.29,7.83,4.21,160.0
137.93,2.43,27.29,0.76,20.67,2.21,160.0
138.94,1.74,42.34,0.6,25.28,1.2,160.0
139.93,2.81,64.21,0.5,31.91,1.4,160.0
140.92,2.37,88.09,0.45,39.93,1.2,160.0
141.96,2.0,75.65,0.13,10.03,2.21,160.0
142.96,1.81,36.92,0.04,1.61,3.21,160.0
143.9,1.36,12.44,0.08,1.0,1.2,160.0
144.89,2.13,6.42,0.38,2.41,1.2,160.0
146.21,3.45,6.02,0.73,4.41,0.6,160.0
146.87,2.97,10.64,0.66,7.02,0.2,160.0
147.89,4.07,20.07,0.71,14.25,0.2,160.0
149.1,6.6,63.81,0.75,47.76,0.4,160.0
150.14,4.12,113.98,0.37,42.34,0.2,160.0
150.9,2.42,99.33,0.24,24.28,0.4,160.0
151.9,2.92,70.03,0.1,6.82,2.41,160.0
152.9,3.34,38.73,0.11,4.21,5.22,160.0
153.89,1.27,9.03,0.36,3.21,1.61,160.0
155.3,3.02,10.84,0.28,3.01,1.0,160.0
156.19,3.2,21.87,0.78,17.06,0.2,160.0
157.21,3.4,50.37,0.78,39.33,0.6,160.0
157.98,2.9,87.69,0.67,58.6,1.61,160.0
158.46,2.5,119.0,0.09,11.24,2.21,160.0
159.13,1.8900000000000001,91.91,0.08,8.23,7.02,160.0
159.9,1.28,64.82,0.12,5.22,4.21,160.0
160.87,1.35,19.47,0.3,2.41,1.2,160.0
161.87,3.01,11.44,0.81,3.41,0.4,160.0
163.04,4.9,8.43,0.98,6.82,0.6,160.0
164.04,4.56,21.87,0.74,21.47,1.0,160.0
164.86,3.75,55.99,0.24,41.34,1.4,160.0
165.87,3.41,109.16,0.06,26.29,7.22,160.0
166.87,3.82,74.25,0.15,4.82,6.02,160.0
167.85,2.28,19.67,0.51,3.01,1.2,160.0
168.87,2.53,7.83,0.83,4.01,1.2,160.0
170.05,6.1,10.64,0.83,8.83,0.2,160.0
171.04,6.41,20.27,0.89,18.06,1.0,160.0
171.86,4.42,47.76,0.93,44.55,0.6,160.0
172.87,5.05,98.33,0.2,19.47,1.2,160.0
174.05,3.72,76.46,0.02,1.81,5.22,160.0
174.86,3.19,60.4,0.18,10.84,2.41,160.0
176.06,2.02,41.74,0.49,20.27,2.01,160.0
177.15,2.43,36.52,0.1,3.61,3.21,160.0
178.0,1.63,36.12,0.45,16.25,1.0,160.0
179.15,1.7,39.93,0.1,4.01,1.61,160.0
179.89,1.53,17.26,0.28,4.82,2.01,160.0
180.87,3.98,31.1,0.56,17.46,0.8,160.0
181.86,2.49,32.91,0.55,18.06,2.21,160.0
182.87,2.28,65.82,0.33,21.67,3.61,160.0
183.87,2.46,80.07,0.5,39.93,4.21,160.0
185.17,2.4,41.74,0.1,4.01,5.82,160.0
185.87,2.3,28.29,0.11,3.01,5.22,160.0
186.9,1.39,21.67,0.24,5.22,3.01,160.0
187.89,1.56,8.23,0.34,2.81,0.8,160.0
188.92,2.51,36.32,0.48,17.46,3.01,160.0
189.93,1.17,55.99,0.33,18.26,2.01,160.0
191.0,1.72,71.44,0.18,13.04,2.01,160.0
191.97,1.53,52.98,0.22,11.84,3.81,160.0
192.91,1.35,40.94,0.18,7.42,3.21,160.0
193.9,2.66,31.71,0.35,11.04,5.22,160.0
194.88,2.24,22.07,0.32,7.02,3.41,160.0
195.89,2.17,20.07,0.14,2.81,1.0,160.0
196.94,2.03,20.07,0.14,2.81,1.0,160.0
198.16,1.38,43.14,0.31,13.44,1.61,160.0
198.93,1.98,55.99,0.45,25.28,2.81,160.0
199.9,2.0,33.91,0.23,7.83,6.82,160.0
200.91,1.95,59.0,0.69,40.94,6.02,160.0
202.0,0.63,41.74,0.26,11.04,3.21,160.0
202.88,1.34,33.71,0.05,1.61,2.01,160.0
204.0,2.34,22.07,0.11,2.41,3.01,160.0
205.24,2.95,18.86,0.44,8.23,1.61,160.0
205.96,2.36,29.7,0.28,8.23,1.0,160.0
206.97,1.83,55.99,0.27,15.05,3.21,160.0
207.87,4.96,96.52,0.38,36.52,2.01,160.0
208.87,3.45,60.0,0.06,3.81,11.04,160.0
210.05,4.53,30.5,0.11,3.21,7.83,160.0
210.87,4.58,17.86,0.7,12.44,3.81,160.0
212.2,4.9,28.09,0.78,21.87,2.01,160.0
212.86,4.26,51.97,0.81,42.34,2.01,160.0
213.89,3.76,100.13,0.31,31.1,9.03,160.0
214.87,3.05,50.37,0.13,6.42,8.03,160.0
215.86,2.22,32.91,0.23,7.42,9.03,160.0
217.05,1.81,15.85,1.06,16.86,5.42,160.0
217.87,3.07,28.9,0.81,23.28,3.61,160.0
218.89,3.28,50.37,0.36,18.06,2.01,160.0
220.23,5.67,63.41,0.21,13.04,1.61,160.0
220.9,4.81,85.08,0.21,18.06,2.01,160.0
221.84,4.39,55.99,0.15,8.23,1.61,160.0
222.88,5.8,32.11,0.14,4.41,4.41,160.0
224.0,3.87,24.28,0.05,1.2,3.41,160.0
225.0,6.78,15.85,0.11,1.81,2.81,160.0
226.04,1.62,34.92,0.36,12.64,2.21,160.0
227.02,1.9,24.68,0.39,9.63,2.21,160.0
228.01,1.34,39.93,0.36,14.25,1.4,160.0
229.07,1.55,40.33,0.21,8.43,2.21,160.0
229.99,1.43,19.47,0.2,3.81,1.61,160.0
